id,insCode,first_price,date_,close_price,last_price,total_count,total_volumn,total_value,min_price,max_price,yesterday_price,close_price_change,close_price_percentage,last_price_change,last_price_percentage
7743,46348559193224090,1907.0,2007-04-10,1883.0,1883.0,310,1315311,2477218529.0,1862.0,1917.0,1879.0,4.0,0.2129,1883.0,0.0
7856,46348559193224090,1830.0,2007-05-29,1844.0,1844.0,182,1881316,3436495236.0,1820.0,1844.0,1845.0,-1.0,-0.0542,-39.0,-2.07
8387,46348559193224090,3230.0,2008-02-13,3262.0,3262.0,697,6550495,21369820970.0,3202.0,3267.0,3203.0,59.0,1.842,1418.0,76.89
8427,46348559193224090,3310.0,2008-04-08,3290.0,3290.0,570,794351877,3095404712670.0,3290.0,3900.0,3246.0,44.0,1.3555,28.0,0.85
8580,46348559193224090,2343.0,2008-11-24,2414.0,2414.0,21,68916,161470898.0,2343.0,2414.0,2415.0,-1.0,-0.0414,-876.0,-26.62
10656,46348559193224090,1755.0,2009-03-25,1754.0,1806.0,17,243715,430073634.0,1755.0,1806.0,1754.0,0.0,0.0,-608.0,-25.18
11961,46348559193224090,1895.0,2009-05-26,1870.0,1862.0,102,23277384,43530139400.0,1842.0,1895.0,1865.0,5.0,0.2681,56.0,3.1
16667,46348559193224090,1550.0,2009-07-28,1542.0,1579.0,339,4175226,6416998925.0,1506.0,1579.0,1551.0,-9.0,-0.5803,-283.0,-15.19
17691,46348559193224090,2100.0,2009-09-30,2080.0,2073.0,601,11902124,24752749496.0,2050.0,2148.0,2107.0,-27.0,-1.2814,494.0,31.28
22136,46348559193224090,1899.0,2010-02-08,1893.0,1863.0,261,2389613,4488586994.0,1863.0,1899.0,1907.0,-14.0,-0.7341,-210.0,-10.13
23092,46348559193224090,2364.0,2010-06-23,2339.0,2335.0,197,2171224,5076391482.0,2306.0,2364.0,2339.0,0.0,0.0,472.0,25.33
27337,46348559193224090,2805.0,2010-08-31,2840.0,2869.0,1046,15006467,42611712032.0,2799.0,2900.0,2851.0,-11.0,-0.3858,534.0,22.86
28677,46348559193224090,2499.0,2010-11-09,2510.0,2510.0,96,1076067,2686520388.0,2474.0,2529.0,2514.0,-4.0,-0.1591,-359.0,-12.51
33040,46348559193224090,0.0,2011-01-19,2564.0,2560.0,0,0,0.0,0.0,0.0,2564.0,0.0,0.0,50.0,1.99
34238,46348559193224090,3168.0,2011-06-13,3204.0,3190.0,1016,13684828,43847119365.0,3150.0,3250.0,3170.0,34.0,1.0726,630.0,24.6
39579,46348559193224090,2750.0,2011-11-09,2768.0,2820.0,414,4249434,11874222047.0,2740.0,2839.0,2736.0,32.0,1.1696,-370.0,-11.59
42494,46348559193224090,3150.0,2012-04-10,3253.0,3249.0,1723,18226526,59284251843.0,3150.0,3270.0,3145.0,108.0,3.434,429.0,15.21
46780,46348559193224090,2507.0,2012-06-27,2507.0,2507.0,545,16387602,41083738214.0,2507.0,2508.0,2611.0,-104.0,-3.9831,-742.0,-22.83
50256,46348559193224090,3800.0,2012-12-03,3804.0,3780.0,1434,31421963,119543687759.0,3731.0,3831.0,3831.0,-27.0,-0.7048,1273.0,50.77
55429,46348559193224090,4400.0,2013-05-15,4365.0,4310.0,701,5817939,25236383127.0,4280.0,4550.0,4446.0,-81.0,-1.8219,530.0,14.02
59204,46348559193224090,3800.0,2013-08-06,3880.0,3880.0,1156,7682996,29814953092.0,3720.0,3930.0,3807.0,73.0,1.9175,-430.0,-9.97
64954,46348559193224090,4490.0,2013-10-29,4482.0,4455.0,668,3752230,16787943748.0,4413.0,4555.0,4490.0,-8.0,-0.1782,575.0,14.81
67955,46348559193224090,4561.0,2014-01-22,4574.0,4493.0,780,6560433,29562709269.0,4493.0,4599.0,4680.0,-106.0,-2.265,38.0,0.85
75274,46348559193224090,4090.0,2014-07-14,4039.0,4050.0,496,4192004,17006089026.0,4040.0,4090.0,4027.0,12.0,0.298,-443.0,-9.85
77786,46348559193224090,2186.0,2015-01-07,2184.0,2179.0,339,3700733,8067709105.0,2158.0,2190.0,2186.0,-2.0,-0.0915,-1871.0,-46.19
84309,46348559193224090,2240.0,2015-04-07,2202.0,2180.0,824,10639228,23431846101.0,2180.0,2240.0,2239.0,-37.0,-1.6525,1.0,0.04
88335,46348559193224090,1900.0,2015-07-07,1893.0,1900.0,1418,15638867,29600659443.0,1860.0,1910.0,1902.0,-9.0,-0.4732,-280.0,-12.84
94041,46348559193224090,1157.0,2015-10-07,1162.0,1179.0,467,5657134,6671196045.0,1157.0,1188.0,1135.0,27.0,2.3789,-721.0,-37.94
102065,46348559193224090,1400.0,2016-04-11,1401.0,1408.0,1369,19403632,27183880153.0,1381.0,1422.0,1421.0,-20.0,-1.4075,229.0,19.42
108093,46348559193224090,1220.0,2016-10-19,1223.0,1229.0,1165,18894200,23100335936.0,1210.0,1238.0,1211.0,12.0,0.9909,-179.0,-12.71
112821,46348559193224090,1440.0,2017-01-24,1454.0,1450.0,880,17837770,25928810407.0,1439.0,1463.0,1458.0,-4.0,-0.2743,221.0,17.98
121663,46348559193224090,1361.0,2017-05-02,1360.0,1344.0,257,3642451,4924576375.0,1344.0,1363.0,1367.0,-7.0,-0.5121,-106.0,-7.31
123860,46348559193224090,1700.0,2017-08-09,1750.0,1763.0,4305,89115078,155940532054.0,1700.0,1769.0,1685.0,65.0,3.8576,419.0,31.17
130415,46348559193224090,2876.0,2018-02-26,2889.0,2900.0,1309,19768483,57107971684.0,2868.0,2918.0,2855.0,34.0,1.1909,1137.0,64.49
144141,46348559193224090,4889.0,2019-01-01,4812.0,4770.0,1367,11009272,52981742581.0,4761.0,4897.0,4889.0,-77.0,-1.575,1870.0,64.48
151737,46348559193224090,4050.0,2019-04-16,4021.0,3965.0,6222,75869278,305073318494.0,3950.0,4062.0,4052.0,-31.0,-0.7651,-805.0,-16.87
161432,46348559193224090,4020.0,2019-07-31,4009.0,4008.0,3102,29517675,118327079377.0,3999.0,4033.0,4034.0,-25.0,-0.6197,43.0,1.08
166008,46348559193224090,4642.0,2020-03-02,4678.0,4670.0,14317,191761660,896967871342.0,4601.0,4722.0,4603.0,75.0,1.6294,662.0,16.51
188924,46348559193224090,18280.0,2020-10-07,18000.0,18060.0,53829,210699577,3793241143150.0,17550.0,18460.0,17860.0,140.0,0.7839,13390.0,286.72
191321,46348559193224090,11890.0,2021-01-26,11680.0,11300.0,25865,133965745,1564647132020.0,11210.0,12150.0,11790.0,-110.0,-0.933,-6760.0,-37.43
194132,46348559193224090,12220.0,2021-05-18,12440.0,12290.0,8784,67706877,842391663160.0,12220.0,12820.0,12470.0,-30.0,-0.2406,990.0,8.76
198179,46348559193224090,11430.0,2021-09-08,11600.0,11650.0,21851,109476794,1270161344700.0,11430.0,11800.0,11590.0,10.0,0.0863,-640.0,-5.2
288414,46348559193224090,11840.0,2022-04-25,12050.0,12100.0,7174,81443515,981254892590.0,11820.0,12200.0,11910.0,140.0,1.1755,450.0,3.86
294251,46348559193224090,12060.0,2022-04-26,12090.0,12090.0,8023,63858219,772071684210.0,12010.0,12200.0,12050.0,40.0,0.332,-10.0,-0.08
295829,46348559193224090,11900.0,2022-05-01,11880.0,11900.0,6607,51692308,613960835590.0,11790.0,11990.0,11960.0,-80.0,-0.6689,-190.0,-1.57
309457,46348559193224090,11940.0,2022-05-10,11890.0,11830.0,5574,39754507,472764804680.0,11820.0,11970.0,11940.0,-50.0,-0.4188,-70.0,-0.58
313661,46348559193224090,12100.0,2022-05-16,12320.0,12500.0,15602,135088447,1664959495750.0,12090.0,12620.0,12090.0,230.0,1.9024,670.0,5.66
328924,46348559193224090,12550.0,2022-05-23,12400.0,12330.0,8431,100386697,1245281441210.0,12270.0,12580.0,12540.0,-140.0,-1.1164,-170.0,-1.36
331564,46348559193224090,11770.0,2022-05-31,11750.0,11700.0,5298,28475982,334700160320.0,11600.0,11900.0,11750.0,0.0,0.0,-630.0,-5.1
334044,46348559193224090,11660.0,2022-06-19,11610.0,11610.0,4662,45368856,526781701680.0,11560.0,11740.0,11610.0,0.0,0.0,-90.0,-0.76
